COMP,GAP,COMPGAP,TRT,TREE#,STATUS,SPP,DBH_IN,CRWNcls,DISTANCE ,SIDE,P/NP,COMMENTS,PRE_TRT_GROWTH_cm,POST_TRT_GROWTH_cm,CORE_COMMENTS,DEAD_BRANCHES,PER_DIFF,REPL
60,G,60G,M,XTRA IC3,L,IC,9.5,C,,,NP,,4.4,3.5,,0,-20.45,M4
60,G,60G,M,XTRA SP1,L,SP,10.6,C,,,NP,,4.7,5,2008 UNCLEAR,22,6.38,M4
60,G,60G,M,XTRA SP2,L,SP,8.8,C,,,NP,,3.5,3.7,,21,5.71,M4
60,G,60G,M,XTRA SP3,L,SP,11.7,C,,,P,,3.7,3.9,2012 UNCLEAR,3,5.41,M4
60,G,60G,M,XTRA SP4,L,SP,7.3,C,,,P,,3.1,3,,18,-3.23,M4
60,G,60G,M,XTRA WF1,L,WF,6.9,C,,,NP,,2.8,3,2008 BROKEN,23,7.14,M4
60,G,60G,M,XTRA WF2,L,WF,7.4,C,,,P,,3.4,2.9,2010/11 DISCOLOURED,0,-14.71,M4
60,H,60H,MBB,2,L,PP,6.1,C,7,L,NP,,3,2.6,FIRST RINGS BROKEN,11,-13.33,MBB1
60,H,60H,MBB,7,L,PP,5.6,C,43,R,NP,,1.5,1.9,,2,26.67,MBB1
60,H,60H,MBB,8,L,SP,5,I,49,L,NP,,1.4,2.8,,3,100,MBB1
60,H,60H,MBB,10,L,PP,11.2,C,70,L,NP,RETAGGED,4.4,3.5,PRE UNCLEAR,15,-20.45,MBB1
60,H,60H,MBB,11,L,PP,14,C,87,R,P,,5.5,4.5,,1,-18.18,MBB1
60,H,60H,MBB,12,L,PP,12.5,C,102,L,NP,,5.8,4.6,,22,-20.69,MBB1
60,H,60H,MBB,13,L,WF,6,C,112,R,P,,3.1,2.3,,0,-25.81,MBB1
60,H,60H,MBB,14,L,IC,7.2,C,142,L,P,,2.6,3.5,,0,34.62,MBB1
60,H,60H,MBB,15,L,PP,15.4,C,154,L,NP,,6.8,4.3,,37,-36.76,MBB1
60,H,60H,MBB,16,L,PP,14.4,C,164,L,P,,6.9,4.5,,10,-34.78,MBB1
60,H,60H,MBB,20,L,DF,8.4,C,192,L,NP,,3.1,4.2,2008 RING UNCLEAR,0,35.48,MBB1
60,H,60H,MBB,22,L,IC,7.5,C,212,R,P,,3.2,2.8,2009 RING UNCLEAR,8,-12.5,MBB1
60,H,60H,MBB,23,L,IC,8.6,C,225,L,NP,,2.9,2,,35,-31.03,MBB1
60,H,60H,MBB,25,L,PP,14,C,123,L,NP,,4.7,2.5,,19,-46.81,MBB1
60,H,60H,MBB,26,L,PP,15.1,C,156,R,P,,5,3.7,,5,-26,MBB1
60,H,60H,MBB,27,L,IC,9.7,C,189,R,P,,4.3,4.5,,0,4.65,MBB1
60,H,60H,MBB,29,L,PP,12.9,C,221,L,NP,,3.8,3.8,,20,0,MBB1
60,H,60H,MBB,30,L,PP,10.6,C,237,L,P,,3.1,3.5,,6,12.9,MBB1
60,H,60H,MBB,59,L,WF,7.6,C,16,L,NP,,2.4,2.5,,29,4.17,MBB1
60,H,60H,MBB,60,L,WF,5.7,C,71,R,P,,2.6,2.4,,0,-7.69,MBB1
60,H,60H,MBB,61,L,WF,6.8,C,55,L,P,,2.4,3,,0,25,MBB1
60,H,60H,MBB,62,L,WF,5.8,C,83,R,P,,2.3,2.2,,0,-4.35,MBB1
60,H,60H,MBB,63,L,PP,12,C,88,L,P,,4.8,3.6,,1,-25,MBB1
60,H,60H,MBB,64,L,PP,11.2,C,94,R,NP,,4.2,4.1,,41,-2.38,MBB1
60,H,60H,MBB,65,L,IC,9,C,114,L,NP,,3,2.4,,31,-20,MBB1
60,H,60H,MBB,66,L,PP,15,C,137,R,P,,5.5,4.1,,0,-25.45,MBB1
60,H,60H,MBB,67,L,DF,7.3,C,161,R,P,,2.8,2.7,,1,-3.57,MBB1
60,H,60H,MBB,68,L,PP,12.3,C,171,L,P,,4.3,4.3,,0,0,MBB1
60,H,60H,MBB,69,L,IC,8.1,C,187,L,P,,4.2,1.5,,0,-64.29,MBB1
60,H,60H,MBB,70,L,SP,6.2,C,194,R,NP,,3,2.9,,31,-3.33,MBB1
60,H,60H,MBB,71,L,PP,12.2,C,203,R,P,,4.6,4.1,,4,-10.87,MBB1
60,H,60H,MBB,72,L,PP,9.1,C,207,L,P,,3.8,2.7,               ,8,-28.95,MBB1
60,H,60H,MBB,73,L,PP,12.8,C,210,L,P,,4.8,4.4,,25,-8.33,MBB1
60,H,60H,MBB,XTRADF1,L,DF,7.2,C,,,NP,,3.6,3.1,2008UNCLEAR,12,-13.89,MBB1
60,H,60H,MBB,XTRADF2,L,DF,12.7,C,,,NP,,2.9,3.3,,36,13.79,MBB1
60,H,60H,MBB,XTRASP1,L,SP,9,C,,,P,,3.6,3.1,,6,-13.89,MBB1
60,H,60H,MBB,XTRASP2,L,SP,9.5,C,,,NP,ALSOTAGGED42,3.9,4.3,,19,10.26,MBB1
60,I,60I,MBB,3,L,PP,8.1,C,57.9,R,NP,ALMOSTDEAD,3.8,2,2019UNCLEAR,14,-47.37,MBB2
60,I,60I,MBB,6,L,IC,7.7,C,78,L,P,,3.6,3.1,,0,-13.89,MBB2
60,I,60I,MBB,7,L,IC,7.7,C,78.8,R,P,,3,3,,0,0,MBB2
60,I,60I,MBB,8,L,PP,11,D,99,L,NP,,4.3,5.1,,18,18.6,MBB2
60,I,60I,MBB,9,L,PP,12.4,C,107.9,R,NP,,4.4,3.9,,18,-11.36,MBB2
60,I,60I,MBB,10,L,IC,8.4,C,108.8,L,NP,,3.8,2.9,,15,-23.68,MBB2
60,I,60I,MBB,11,L,IC,7,C,131.5,L,P,,3.2,2.3,,16,-28.13,MBB2
60,I,60I,MBB,13,L,IC,10.2,D,154,L,NP,,4.1,2.8,,27,-31.71,MBB2
60,I,60I,MBB,14,L,DF,9.4,D,178.6,R,NP,,2.6,1.8,,26,-30.77,MBB2
60,I,60I,MBB,30,L,PP,11.6,C,57.8,L,P,,4.5,4.5,,5,0,MBB2
60,I,60I,MBB,31,L,IC,8.2,C,81.9,L,NP,,4.9,2.4,,16,-51.02,MBB2
60,I,60I,MBB,32,L,PP,10.9,C,92,R,NP,,4.6,5.3,SCARONCORE,17,15.22,MBB2
60,I,60I,MBB,33,L,PP,14,C,113.5,R,P,,3.9,2.4,,6,-38.46,MBB2
60,I,60I,MBB,34,L,IC,8.4,C,122.9,R,P,,3.2,2.3,,0,-28.13,MBB2
60,I,60I,MBB,35,L,DF,12,C,128,L,NP,,4.1,5.4,,30,31.71,MBB2
60,I,60I,MBB,36,L,PP,14.6,D,144.9,R,P,,4.8,5.2,,0,8.33,MBB2
60,I,60I,MBB,37,L,SP,7.65,D,165,R,P,,2.7,3.4,PREUNCLEAR,0,25.93,MBB2
60,I,60I,MBB,38,L,PP,6.1,C,181,R,P,,2.7,2,,1,-25.93,MBB2
60,I,60I,MBB,39,L,PP,5.3,C,200,L,NP,,2.1,2.3,,2,9.52,MBB2
60,I,60I,MBB,XTRA SP3,L,SP,9.1,C,,,P,,3.8,3.9,,2,2.63,MBB2
60,I,60I,MBB,XTRADF1,L,DF,8.1,C,129,L,P,,3.3,3.2,,0,-3.03,MBB2
60,I,60I,MBB,XTRASP1,L,SP,15.3,C,141,R,NP,,4.2,4.7,,19,11.9,MBB2
60,I,60I,MBB,XTRASP2,L,SP,7.15,C,149,L,P,,3.1,3.3,,0,6.45,MBB2
60,I,60I,MBB,XTRAWF1,L,WF,6.1,C,169,L,NP,,2.6,3,,13,15.38,MBB2
60,I,60I,MBB,XTRAWF2,L,WF,9.45,D,182,L,NP,,3.4,2.9,,56,-14.71,MBB2
60,I,60I,MBB,XTRAWF3,L,WF,8.5,D,177,L,NP,,2.3,2.4,2010TO2011BROKEN,35,4.35,MBB2
60,I,60I,MBB,XTRAWF4,L,WF,9.2,C,146,R,P,,4.1,2.6,,0,-36.59,MBB2
60,I,60I,MBB,XTRA DF2,L,DF,7.6,C,,,NP,,3.3,3.6,,11,9.09,MBB2
60,J,60J,MBB,3,L,PP,10.3,C,,,P,,3.3,3.5,,3,6.06,MBB3
60,J,60J,MBB,4,L,SP,7.7,C,,,P,,2.8,2.8,,12,0,MBB3
60,J,60J,MBB,6,L,WF,6.2,C,,,NP,,2.4,2.5,,44,4.17,MBB3
60,J,60J,MBB,7,L,IC,7.5,C,,,P,,3.1,3.1,,2,0,MBB3
60,J,60J,MBB,8,L,WF,9,C,,,P,,3.1,2.7,,13,-12.9,MBB3
60,J,60J,MBB,9,L,PP,7.6,C,,,NP,,3.4,2.9,,14,-14.71,MBB3
60,J,60J,MBB,11,L,SP,7,C,,,NP,,2.4,2.4,,30,0,MBB3
60,J,60J,MBB,12,L,PP,13.4,C,,,P,,3.6,4.1,,6,13.89,MBB3
60,J,60J,MBB,13,L,PP,12.8,C,,,NP,,3.9,5,,30,28.21,MBB3
60,J,60J,MBB,15,L,PP,4.9,C,,,NP,,1.9,2.3,,16,21.05,MBB3
60,J,60J,MBB,17,L,PP,13.5,C,,,NP,,3.7,4.5,,17,21.62,MBB3
60,J,60J,MBB,19,L,DF,8.3,C,,,P,,3.2,2.4,,9,-25,MBB3
60,J,60J,MBB,38,L,PP,11.9,C,44,L,NP,,3.3,4.4,,23,33.33,MBB3
60,J,60J,MBB,39,L,WF,8.4,C,57,L,P,,3.6,3.5,,0,-2.78,MBB3
60,J,60J,MBB,40,L,IC,7.7,C,54,R,P,,4,3.5,,0,-12.5,MBB3
60,J,60J,MBB,41,L,PP,9.3,C,70,R,P,,4.2,4.7,,2,11.9,MBB3
60,J,60J,MBB,42,L,PP,8.9,C,82,R,P,,3.2,4.2,,6,31.25,MBB3
60,J,60J,MBB,43,L,PP,9,C,96,R,NP,,3.2,4.3,,14,34.38,MBB3
60,J,60J,MBB,44,L,WF,11.9,C,139,R,NP,,2.8,5.1,,48,82.14,MBB3
60,J,60J,MBB,45,L,PP,3.5,C,184,R,NP,,1.6,1.1,,10,-31.25,MBB3
60,J,60J,MBB,46,L,DF,10.3,C,123,L,P,,3.2,3.4,,6,6.25,MBB3
60,J,60J,MBB,47,L,PP,8.6,C,110,L,P,,2.6,3.5,,0,34.62,MBB3
60,J,60J,MBB,48,L,PP,10,C,67,L,P,,4.3,4,,4,-6.98,MBB3
60,J,60J,MBB,XTRA DF1 ,L,DF,10,C,,,P,,2.3,3.3,,1,43.48,MBB3
60,J,60J,MBB,XTRA DF2,L,DF,9.3,C,,,NP,,2.9,2.9,,39,0,MBB3
60,J,60J,MBB,XTRA IC1,L,IC,8,C,,,P,,2.5,3,,1,20,MBB3
60,J,60J,MBB,XTRA IC2,L,IC,7.2,C,,,NP,,3.1,2.5,,32,-19.35,MBB3
60,J,60J,MBB,XTRA SP1,L,SP,11.5,C,,,P,,5.2,4.2,,6,-19.23,MBB3
60,J,60J,MBB,XTRA SP2,L,SP,9.4,C,,,NP,,4.1,3.8,,26,-7.32,MBB3
400,F,400F,BB,2,L,PP,6.8,C,22,R,NP,,3,1.9,,15,-36.67,BB1
400,F,400F,BB,4,L,IC,4.5,C,35,R,NP,,1.5,1.2,POST UNCLEAR,15,-20,BB1
400,F,400F,BB,6,L,IC,4.6,C,38,R,NP,,2.4,1.4,,9,-41.67,BB1
400,F,400F,BB,7,L,PP,9.4,C,52,L,NP,,3.5,2.6,,34,-25.71,BB1
400,F,400F,BB,9,L,PP,6,C,53,L,NP,,3.3,0.9,,44,-72.73,BB1
400,F,400F,BB,10,L,PP,10.3,C,57,L,NP,,3.4,3,,28,-11.76,BB1
400,F,400F,BB,12,L,PP,6.5,C,62,R,NP,,2.4,1.2,,19,-50,BB1
400,F,400F,BB,16,L,SP,6.9,C,31,R,P,ALSO TAGGED AS P16,2.9,2.6,,1,-10.34,BB1
400,F,400F,BB,20,L,DF,6,C,75,L,NP,,2,2.6,,10,30,BB1
400,F,400F,BB,26,L,DF,4.7,C,121,R,NP,,1.6,1.7,,20,6.25,BB1
400,F,400F,BB,29,L,IC,5.8,C,138,L,NP,,1.9,1.8,2018 UNCLEAR,35,-5.26,BB1
400,F,400F,BB,30,L,PP,9.4,C,145,L,NP,,3.6,1.8,2016/17 BROKEN,19,-50,BB1
400,F,400F,BB,31,L,PP,9.5,C,148,L,NP,,2.4,2.8,2008 PITH,40,16.67,BB1
400,F,400F,BB,74,L,WF,4.9,C,38,L,NP,,2,2.1,2017/18 BROKEN,30,5,BB1
400,F,400F,BB,81,L,WF,4.8,C,69,R,NP,,2.1,2.2,,27,4.76,BB1
400,F,400F,BB,92,L,IC,4.8,C,96,R,NP,,1.6,1.7,,18,6.25,BB1
400,F,400F,BB,99,L,PP,5.4,C,116,R,NP,,2.5,2.3,,21,-8,BB1
400,F,400F,BB,106,L,PP,6.2,C,123,L,NP,,2.2,2.7,2008 PITH,18,22.73,BB1
400,F,400F,BB,108,L,IC,5.2,C,133,L,NP,,1.1,2.1,,11,90.91,BB1
400,F,400F,BB,113,L,DF,6,C,24,L,NP,,3.2,2.5,2018 BROKEN,41,-21.88,BB1
400,F,400F,BB,114,L,IC,4.6,C,32,L,NP,,3,1.6,2016 2018 BROKEN,16,-46.67,BB1
400,F,400F,BB,115,L,PP,5,C,34,L,NP,,2.8,1.7,,19,-39.29,BB1
400,F,400F,BB,116,L,PP,9.5,C,35,L,NP,,3.7,2.6,,25,-29.73,BB1
400,F,400F,BB,117,L,WF,4.6,C,41,L,NP,,2.4,1.6,PRE UNCLEAR,51,-33.33,BB1
400,F,400F,BB,118,L,IC,5,C,44,L,NP,,2.7,1.5,,29,-44.44,BB1
400,F,400F,BB,119,L,WF,5.6,C,46,L,NP,,2.7,2,,36,-25.93,BB1
400,F,400F,BB,120,L,SP,7.2,C,49,L,NP,,3.4,2.9,PRE UNCLEAR,58,-14.71,BB1
400,F,400F,BB,122,D,IC,5.2,C,62,L,NP,,1.9,2.3,2008 PITH,14,21.05,BB1
400,F,400F,BB,123,L,SP,5.8,C,63,R,NP,,2.3,2.5,,30,8.7,BB1
400,F,400F,BB,124,L,DF,4.3,C,64,R,NP,,1.8,1.4,,21,-22.22,BB1
400,F,400F,BB,126,L,WF,5.9,C,69,R,NP,,2.2,2,,57,-9.09,BB1
400,F,400F,BB,132,L,PP,9,C,84,R,NP,,3.3,2.9,,29,-12.12,BB1
400,F,400F,BB,133,L,IC,4.6,C,96,R,NP,,2.1,1.5,,5,-28.57,BB1
400,F,400F,BB,134,L,IC,3.9,C,101,R,NP,,1.6,1.7,,14,6.25,BB1
400,F,400F,BB,136,L,WF,5.4,C,121,R,NP,,1.7,2.6,,52,52.94,BB1
400,F,400F,BB,137,L,SP,6.5,C,129,R,NP,,2.9,3.1,,30,6.9,BB1
400,G,400G,BB,3,L,IC,7.6,C,1,R,NP,,2.9,2.9,2010/11 BROKEN,17,0,BB2
400,G,400G,BB,4,L,WF,5,C,5,R,NP,,1.7,0.9,,35,-47.06,BB2
400,G,400G,BB,5,L,IC,6,C,8,R,NP,,2.4,1.7,,24,-29.17,BB2
400,G,400G,BB,6,L,WF,6.1,C,15,R,NP,LOOSE BARK,2.5,1.9,,86,-24,BB2
400,G,400G,BB,9,L,PP,12.7,D,20,R,NP,GALLS ON DEAD BRANCHES,4.1,4.3,,25,4.88,BB2
400,G,400G,BB,13,L,IC,5.3,I,35,L,NP,13 & 14 JOINED AT BASE,2.1,1.4,,38,-33.33,BB2
400,G,400G,BB,14,L,IC,5.7,C,35,L,NP,13 & 14 JOINED AT BASE,2.7,1.3,,20,-51.85,BB2
400,G,400G,BB,15,L,PP,5.9,C,41,R,NP,,2.5,2,,22,-20,BB2
400,G,400G,BB,21,L,WF,7.7,C,55,R,NP,,3.3,1.6,2014 UNCLEAR,78,-51.52,BB2
400,G,400G,BB,25,L,PP,13.8,C,56,L,NP,,5.4,3.3,,26,-38.89,BB2
400,G,400G,BB,28,L,PP,12.6,C,85,R,NP,,4.5,2.6,,27,-42.22,BB2
400,G,400G,BB,29,L,PP,10.3,C,84,R,NP,GALLS ON DEAD BRANCHES,3.2,2.6,2018 BROKEN,38,-18.75,BB2
400,G,400G,BB,31,L,PP,6.6,I,92,R,NP,RETAG,2.4,0.9,,47,-62.5,BB2
400,G,400G,BB,32,L,PP,7.2,I,93,R,NP,,3.1,0.8,,34,-74.19,BB2
400,G,400G,BB,34,L,PP,11.5,C,86,L,NP,,3.7,2.2,2019 UNCLEAR,30,-40.54,BB2
400,G,400G,BB,36,L,IC,5.7,I,85,L,NP,35 & 36 JOINED AT BASE,2.1,2,,39,-4.76,BB2
400,G,400G,BB,40,L,PP,9,C,100,L,NP,RETAG; SL,3.9,2.5,,49,-35.9,BB2
400,G,400G,BB,41,L,PP,8.8,C,98,R,NP,,3.1,1.5,,37,-51.61,BB2
400,G,400G,BB,43,L,PP,11.8,C,112,L,NP,,4.8,2.6,,32,-45.83,BB2
400,G,400G,BB,46,L,PP,9.9,C,122,R,NP,GALLS ON DEAD BRANCHES,3.6,2.2,,40,-38.89,BB2
400,G,400G,BB,47,L,PP,9.7,C,123,R,NP,,3.6,2.4,,51,-33.33,BB2
400,G,400G,BB,50,L,PP,7.8,C,131,R,NP,BROKEN TOP,4.2,1.2,,24,-71.43,BB2
400,G,400G,BB,51,L,PP,10.1,C,138,R,NP,,3.3,2.6,,44,-21.21,BB2
400,G,400G,BB,54,L,SP,5.8,C,139,L,NP,,2.5,1.9,,21,-24,BB2
400,G,400G,BB,55,L,SP,6.4,C,147,L,NP,,3.3,2.7,,69,-18.18,BB2
400,G,400G,BB,56,L,PP,5.7,C,146,R,NP,,2,2.7,2008 PITH,30,35,BB2
400,G,400G,BB,57,L,PP,6.1,C,150,R,NP,,2.9,1.4,,23,-51.72,BB2
400,G,400G,BB,58,L,IC,7.1,C,153,R,NP,,3.7,1.2,,33,-67.57,BB2
400,G,400G,BB,60,L,IC,6.6,C,162,R,NP,,2.9,1.6,,40,-44.83,BB2
400,G,400G,BB,62,L,PP,9.8,C,169,R,NP,,3.5,2.2,,25,-37.14,BB2
400,G,400G,BB,63,L,PP,11.3,C,177,L,NP,,4.4,3.8,,54,-13.64,BB2
400,G,400G,BB,64,L,DF,10.9,C,176,L,NP,,3.2,3.2,,39,0,BB2
400,G,400G,BB,67,L,PP,9.6,C,186,R,NP,,5.1,2.1,,28,-58.82,BB2
400,G,400G,BB,69,L,PP,8.6,C,202,R,NP,,5.3,2.3,,36,-56.6,BB2
400,G,400G,BB,70,L,PP,6.8,C,205,L,NP,,2.8,1.9,,28,-32.14,BB2
400,G,400G,BB,74,L,SP,7.2,C,214,L,NP,,3,2.6,,44,-13.33,BB2
400,G,400G,BB,75,L,SP,5.8,C,220,L,NP,,2.6,1.8,,45,-30.77,BB2
400,G,400G,BB,76,L,PP,7.9,C,220,L,NP,,3.8,2.9,,23,-23.68,BB2
400,G,400G,BB,78,L,PP,7.4,C,223,L,NP,,2.9,1.8,,20,-37.93,BB2
400,G,400G,BB,80,L,PP,9.3,C,227,L,NP,,3.3,2.6,,37,-21.21,BB2
400,G,400G,BB,81,L,PP,10.3,C,231,L,NP,,4.2,4,2016/17 BROKEN,32,-4.76,BB2
400,G,400G,BB,82,L,PP,9.5,C,233,R,NP,,4.1,2.5,,46,-39.02,BB2
400,G,400G,BB,83,L,SP,6.4,C,238,L,NP,,2.9,3.7,2008 UNCLEAR,36,27.59,BB2
400,G,400G,BB,84,L,PP,6.4,C,242,R,NP,,2.8,2.3,,27,-17.86,BB2
400,G,400G,BB,85,L,PP,7.1,C,247,R,NP,,3.8,2.6,,25,-31.58,BB2
400,G,400G,BB,87,L,IC,7.3,C,246,L,NP,,3.2,2.5,,14,-21.88,BB2
400,G,400G,BB,88,L,WF,6.2,C,248,L,NP,,2.2,2.3,2015/16 BROKEN,83,4.55,BB2
400,G,400G,BB,89,L,IC,5.5,C,252,L,NP,,1.6,2,2019 UNCLEAR,20,25,BB2
400,G,400G,BB,91,L,WF,7.1,C,264,R,NP,,2.5,3.9,2019 UNCLEAR,67,56,BB2
400,G,400G,BB,92,L,PP,12.3,C,296,L,NP,,5.5,4,,47,-27.27,BB2
400,G,400G,BB,93,L,PP,9.1,C,298,L,NP,,3.9,4.3,2016/17 BROKEN,36,10.26,BB2
400,G,400G,BB,120,L,PP,8.1,C,220,R,NP,,3.6,1.9,,20,-47.22,BB2
400,G,400G,BB,121,L,SP,6,C,248,R,NP,,3.8,1.6,2008 UNCLEAR,46,-57.89,BB2
400,G,400G,BB,122,L,PP,10.2,D,255,R,NP,,4.3,3.9,,32,-9.3,BB2
400,G,400G,BB,XTRA DF1,L,DF,7.5,C,,R,NP,,2.7,2.5,,54,-7.41,BB2
400,G,400G,BB,XTRA DF2,L,DF,6,C,,R,NP,,2.6,2.5,,33,-3.85,BB2
400,G,400G,BB,XTRA DF3,L,DF,5.5,C,,,P,,2.2,2.2,,8,0,BB2
400,H,400H,BB,16,L,PP,9,C,71,R,NP,,3,2.5,,43,-16.67,BB3
400,H,400H,BB,17,L,IC,6.4,C,80,R,NP,,2.5,1.9,,31,-24,BB3
400,H,400H,BB,22,L,WF,5.6,C,110,R,NP,,3,1.8,2017/18 BROKEN,44,-40,BB3
400,H,400H,BB,23,L,WF,5.9,C,118,R,NP,,3,2.1,2016/17 BROKEN,41,-30,BB3
400,H,400H,BB,24,L,PP,12.2,C,131,R,NP,,4.2,2.8,,24,-33.33,BB3
400,H,400H,BB,30,L,PP,10.3,C,Y139,R,NP,,3.6,2.4,,39,-33.33,BB3
400,H,400H,BB,31,L,PP,9.7,C,143,R,NP,,3.7,2.6,2017 BROKEN,51,-29.73,BB3
400,H,400H,BB,32,L,DF,6.5,C,151,R,NP,,2.5,2,2018 UNCLEAR,58,-20,BB3
400,H,400H,BB,33,L,IC,5.6,C,157,R,NP,,2.2,2,,22,-9.09,BB3
400,H,400H,BB,36,L,PP,11.2,C,161,L,NP,,3.9,3,,29,-23.08,BB3
400,H,400H,BB,37,L,WF,4.6,C,170,R,NP,,2,1.8,,13,-10,BB3
400,H,400H,BB,38,L,PP,7.7,C,168,L,NP,,2.9,2.2,,24,-24.14,BB3
400,H,400H,BB,39,L,WF,5.3,C,174,L,NP,,2.5,2.2,2008 BROKEN/UNCLEAR,50,-12,BB3
400,H,400H,BB,40,L,WF,3.7,C,177,R,NP,GALL AT BASE  ,1.9,1.1,2008 UNCLEAR,32,-42.11,BB3
400,H,400H,BB,41,L,WF,5,C,180,L,NP,,1.9,2,,19,5.26,BB3
400,H,400H,BB,44,L,PP,10.7,C,192,L,NP,,3.5,3.5,2017 BROKEN,40,0,BB3
400,H,400H,BB,45,L,IC,4.9,C,195,L,NP,,2.6,1,,35,-61.54,BB3
400,H,400H,BB,50,L,WF,5.5,C,209,L,NP,,2.3,2,,28,-13.04,BB3
400,H,400H,BB,51,L,WF,5.2,C,216,L,NP,,2.3,1.4,,30,-39.13,BB3
400,H,400H,BB,62,L,PP,7.6,C,290,L,NP,,3,2.7,,11,-10,BB3
400,H,400H,BB,63,L,PP,9.9,C,298,L,NP,GALL BELOW DBH,5,2.8,,35,-44,BB3
400,H,400H,BB,90,L,PP,7.5,C,144,L,NP,,4.3,2.7,,29,-37.21,BB3
400,H,400H,BB,112,L,PP,8.4,C,29,L,P,,3,2.1,,22,-30,BB3
400,H,400H,BB,113,L,PP,10.6,C,39,L,NP,,3.8,2.9,,22,-23.68,BB3
400,H,400H,BB,114,L,PP,9.6,C,47,R,NP,,3.3,1.8,,16,-45.45,BB3
400,H,400H,BB,115,L,PP,10.9,C,48,L,NP,,4.2,2.5,,38,-40.48,BB3
400,H,400H,BB,116,L,SP,6.2,C,55,L,NP,,2.4,1.9,,32,-20.83,BB3
400,H,400H,BB,117,L,IC,7.7,C,65,R,NP,,2.3,1.1,,39,-52.17,BB3
400,H,400H,BB,118,L,IC,5.5,C,72,L,NP,,1.8,1.3,,29,-27.78,BB3
400,H,400H,BB,119,L,PP,12.3,C,80,L,NP,,4.4,3,,32,-31.82,BB3
400,H,400H,BB,120,L,PP,8.6,C,92,L,NP,,3.4,2.1,,28,-38.24,BB3
400,H,400H,BB,121,L,IC,8.6,C,113,L,NP,,2.1,1.9,,27,-9.52,BB3
400,H,400H,BB,122,L,DF,5.6,C,127,L,NP,,2.1,2.1,2019 UNCLEAR,52,0,BB3
400,H,400H,BB,123,L,SP,7.1,C,210,R,NP,,2.4,1.5,,49,-37.5,BB3
400,H,400H,BB,124,L,SP,5.8,C,219,R,NP,,2.7,2.3,PRE UNCLEAR,43,-14.81,BB3
400,H,400H,BB,125,L,PP,7.7,C,226,R,NP,,3.1,2.5,,33,-19.35,BB3
400,H,400H,BB,126,L,PP,10.5,C,258,R,NP,,3.9,3.4,,35,-12.82,BB3
400,H,400H,BB,127,L,IC,7.3,C,280,R,NP,,2.3,0.9,,19,-60.87,BB3
400,H,400H,BB,XTRA DF1,L,DF,6.1,C,,,P,,2.2,2.1,,0,-4.55,BB3
400,H,400H,BB,XTRA DF2,L,DF,6.2,C,,,NP,,2.3,2.4,,7,4.35,BB3
400,H,400H,BB,XTRA SP1,L,SP,7.9,C,,,P,,3.6,3.1,,3,-13.89,BB3